e2e9c250,Santi Cazorla,2003-2017,0,ESP,es,Villarreal!Arsenal!Mála...
fd2bc67d,Dante,2003-2018,1,BRA,br,Nice!Bayern Munich!Boru...
5ca13d11,Gary Speed,1992-2009,0,WAL,gb-wal,Newcastle United!Leeds U...
048877f5,Stefano Sorrentino,2001-2018,1,ITA,it,Chievo!Palermo!Torino!...
5070881b,Javier Mascherano,2003-2018,1,ARG,ar,Barcelona!Liverpool!Clu...
aa824b97,David Lopes,2004-2015,0,BRA,br,Athletic Bilbao!Osasuna,...
dccccccc,Aaron Hughes,1998-2018,1,NIR,gb-nir,Heart of Midlothian!Fulh...
8d78e732,Robert Lewandowski,2008-2018,1,POL,pl,Bayern Munich!Borussia D...
d934d1e6,Mikel Arteta,2000-2016,0,ESP,es,Everton!Arsenal!Rangers...
efcdb132,Halil Altıntop,2003-2018,1,TUR,tr,Kaiserslautern!SK Slavia...
eaaeef7b,Luís Fabiano,2000-2017,1,BRA,br,CR Vasco da Gama!Sevilla...
0e21fc3c,Borja Valero,2005-2018,1,ESP,es,Internazionale!Fiorentin...
03a97c40,Danny Murphy,1995-2013,0,ENG,gb-eng,Liverpool!Fulham!Charlt...
d054d8b0,Xabi Prieto,2003-2018,1,ESP,es,Real Sociedad
aaff0b72,Thomas Buffel,2002-2018,1,BEL,be,Genk!Feyenoord!Rangers,...
585e1b85,André-Pierre Gignac,2006-2018,1,FRA,fr,UANL!Marseille!Toulouse...
a5eb25eb,Philippe Mexès,1999-2016,0,FRA,fr,Roma!Auxerre!Milan
67cdbc0e,Arturo Vidal,2005-2018,1,CHI,cl,Bayern Munich!Juventus!...
6fe6d820,Florent Malouda,2000-2015,0,FRA,fr,Chelsea!Lyon!Guingamp!...
9d8586c4,Adriano,2003-2018,1,BRA,br,Beşiktaş J.K.!Sevilla!B...
4f06b1e0,Maxi Rodríguez,2001-2017,0,ARG,ar,Newell's Old Boys!Atléti...
ac2c067c,Kevin Kurányi,2001-2016,0,GER,de,Schalke 04!FC Dynamo Mos...
d003e213,Rafinha,2004-2018,1,BRA,br,Bayern Munich!Schalke 04...
da409c6f,Mark Schwarzer,1996-2015,0,AUS,au,Middlesbrough!Fulham!Ch...
a39bb753,Eden Hazard,2007-2018,1,BEL,be,Chelsea!Lille
be927d03,Ashley Young,2003-2018,1,ENG,gb-eng,Manchester United!Aston ...
3858e611,Dario Dainelli,2000-2018,1,ITA,it,Chievo!Fiorentina!Genoa...
3d307105,Kevin Nolan,2001-2016,0,ENG,gb-eng,Bolton Wanderers!West Ha...
ad625c12,Wesley Sneijder,2002-2018,1,NED,nl,Nice!Galatasaray SK!AFC...
58ae47b2,Dimitri Payet,2005-2018,1,FRA,fr,Marseille!Saint-Étienne,...
9d66fbe3,Roberto Soldado,2005-2018,1,ESP,es,Fenerbahçe SK!Valencia!...
6813ac34,Pablo Zabaleta,2002-2018,1,ARG,ar,Manchester City!West Ham...
450ad405,Gaël Clichy,2003-2018,1,FRA,fr,İstanbul Başakşehir FK!A...
7c0bda9b,Carles Puyol,1999-2014,0,ESP,es,Barcelona
b8699f1e,Christian Schulz,2002-2018,1,GER,de,Hannover 96!SK Sturm Gra...
cf15bbb1,Steven Davis,2004-2018,1,NIR,gb-nir,Southampton!Rangers!Ast...
16b8fabd,Roman Weidenfeller,2000-2018,1,GER,de,Borussia Dortmund!Kaiser...
80084c87,Iván Alonso,2000-2017,0,URU,uy,Real Murcia!Alavés!Club...
935faf11,Olivier Sorlin,1999-2016,0,FRA,fr,Evian!Rennes!Montpellie...
88f0a9a0,Lukas Podolski,2003-2017,1,GER,de,Vissel Kobe!Köln!Bayern...
4dd43a89,Hitoshi Sogahata,2001-2017,1,JPN,jp,Kashima Antlers
c906ce0f,Pepe,2002-2018,1,POR,pt,Real Madrid!Beşiktaş J.K...
a350680b,Robert Green,2001-2017,0,ENG,gb-eng,West Ham United!Norwich ...
f490b222,Umut Bulut,2001-2018,1,TUR,tr,Kayserispor!Trabzonspor,...
5be28712,Per Mertesacker,2003-2018,1,GER,de,Arsenal!Werder Bremen!H...
78b3399f,Fabricio Coloccini,2001-2018,1,ARG,ar,Newcastle United!San Lor...
77e6776f,Jaime Valdés,2000-2017,1,CHI,cl,Colo-Colo!Bari!Lecce!A...
2ff964a0,Aaron Lennon,2003-2018,1,ENG,gb-eng,Tottenham Hotspur!Everto...
66116290,Radamel Falcao,2004-2018,1,COL,co,Monaco!Club Atlético Riv...
34edcab0,Ronaldinho,2001-2015,0,BRA,br,Barcelona!Milan!Clube A...
c770acfc,Scott McDonald,2001-2018,1,AUS,au,Dundee United!Motherwell...
68829001,Gonzalo Castro,2004-2018,1,GER,de,Bayer Leverkusen!Borussi...
25f438ad,Alessandro Lucarelli,1998-2018,1,ITA,it,Parma!Piacenza!Reggina,...
72987abc,Shunsuke Nakamura,2001-2017,1,JPN,jp,Júbilo Iwata!Yokohama F....
6d6456d7,Ezequiel Lavezzi,2004-2017,1,ARG,ar,Hebei China Fortune FC!N...
ae2a7988,Cristian Zaccardo,2001-2017,0,ITA,it,Palermo!Parma!Bologna!...
1a24d5b6,Frédéric Kanouté,1999-2013,0,MLI,ml,Sevilla!West Ham United,...
d2bff301,Vincent Kompany,2003-2018,1,BEL,be,Manchester City!Anderlec...
c58270f8,Souleymane Camara,2001-2018,1,SEN,sn,Montpellier!Monaco!Nice...
46e6fea3,Gonzalo Rodríguez,2002-2017,0,ARG,ar,Villarreal!Fiorentina!S...
04f2ed4d,Sergei Ignashevich,2001-2018,1,RUS,ru,PFC CSKA Moscow!FC Lokom...
5a3f6fae,Fernando Navarro,2001-2018,1,ESP,es,Deportivo La Coruña!Sevi...
31d7f557,Christian Maggio,2000-2018,1,ITA,it,Napoli!Sampdoria!Fioren...
e97a88da,Christian Giménez,2001-2018,1,MEX,mx,Cruz Azul!Pachuca!Club ...
603116a7,Marcelo,2005-2018,1,BRA,br,Real Madrid!Fluminense FC
25c3c939,Juan Rodríguez,2003-2017,1,ESP,es,Cortuluá!Deportivo La Co...
9d0e2252,Toifilou Maoulida,1999-2017,0,FRA,fr,Lens!Nîmes!Bastia!Renn...
7cd34266,Robbie Fowler,1993-2011,0,ENG,gb-eng,Liverpool!Manchester Cit...
aff058a4,Franco Brienza,2001-2018,1,ITA,it,Bari!Palermo!Reggina!S...
f9b5e5bd,David Nugent,2002-2018,1,ENG,gb-eng,Derby County!Leicester C...
b746d309,Riccardo Montolivo,2003-2018,1,ITA,it,Milan!Fiorentina!Atalanta
80c31c97,Wes Morgan,2002-2018,1,JAM,jm,Leicester City!Nottingha...
3b64f69d,Germán Denis,2003-2018,1,ARG,ar,Club Atlético Lanús!Atal...
f90f1086,Patrick Vieira,1996-2011,0,FRA,fr,Arsenal!Internazionale!...
3438cef9,Johan Elmander,2000-2017,1,SWE,se,Örgryte IS!Brøndby IF!B...
f5a00fa4,João Moutinho,2004-2018,1,POR,pt,Monaco!Sporting CP!Porto
42276181,Kévin Gameiro,2005-2018,1,FRA,fr,Atlético Madrid!Sevilla,...
d2aa8ac0,Étienne Didot,2002-2018,1,FRA,fr,Guingamp!Toulouse!Rennes
b6638a2c,Andy Cole,1993-2009,0,ENG,gb-eng,Manchester United!Blackb...
58d97e77,Alessandro Matri,2002-2018,1,ITA,it,Sassuolo!Cagliari!Juven...
123a0c6e,Neri Cardozo,2003-2018,1,ARG,ar,Monterrey!Racing Club de...
d6577282,Michael Essien,2000-2016,0,GHA,gh,Chelsea!Lyon!Bastia!Re...
b493db11,Cani,2001-2017,0,ESP,es,Villarreal!Zaragoza!Dep...
167d7dd3,Dejan Stanković,1998-2013,0,SRB,rs,Internazionale!Lazio
dc4d83fe,Renato,2003-2017,1,BRA,br,Santos FC!Sevilla!Botaf...
680fb5ee,Cameron Jerome,2004-2018,1,ENG,gb-eng,Norwich City!Derby Count...
faf1d72c,Mitsuo Ogasawara,2001-2017,1,JPN,jp,Kashima Antlers!Messina
d711d04f,Goran Pandev,2003-2018,1,MKD,mk,Genoa!Lazio!Napoli!Int...
ce067ffe,Rafael Márquez,1999-2018,1,MEX,mx,Atlas!Barcelona!Monaco,...
6d4d9e18,Vágner Love,2004-2018,1,BRA,br,Alanyaspor!Beşiktaş J.K....
65faf2a1,Scott Parker,1998-2017,0,ENG,gb-eng,Fulham!West Ham United!...
e4ed2628,Filipe Luís,2004-2018,1,BRA,br,Atlético Madrid!Deportiv...
184e4970,Darren Fletcher,2003-2018,1,SCO,gb-sco,Manchester United!Stoke ...
265ebd37,Nenê,2003-2017,1,BRA,br,CR Vasco da Gama!Paris S...
6cbc015d,Richard Dunne,1996-2015,0,IRL,ie,Manchester City!Aston Vi...
4771114f,Michael Dawson,2001-2018,1,ENG,gb-eng,Hull City!Tottenham Hots...
791af558,Raffael,2005-2018,1,BRA,br,Borussia Mönchengladbach,...
78841da9,José Callejón,2006-2018,1,ESP,es,Napoli!Espanyol!Real Ma...
3301c9f4,Kolo Touré,2002-2017,0,CIV,ci,Arsenal!Manchester City,...
5eb72339,Simone Padoin,2003-2018,1,ITA,it,Cagliari!Atalanta!Vicen...
288c4a4b,Steffen Hofmann,2001-2018,1,GER,de,SK Rapid Wien!1860 Munich
f7ee69fb,Mousa Dembélé,2003-2018,1,BEL,be,Tottenham Hotspur!AZ Alk...
ad469944,Maxi López,2001-2018,1,ARG,ar,Udinese!Catania!Torino,...
1b013e33,Gary Neville,1993-2011,0,ENG,gb-eng,Manchester United
635b0bae,Massimo Gobbi,2003-2018,1,ITA,it,Chievo!Parma!Fiorentina...
1bb54bef,Ivica Olić,2003-2017,0,CRO,hr,Hamburger SV!PFC CSKA Mo...
7914b9fe,Gary Cahill,2004-2018,1,ENG,gb-eng,Chelsea!Bolton Wanderers...
1d387eee,Wayne Routledge,2001-2018,1,ENG,gb-eng,Swansea City!Crystal Pal...
a67a09fb,Christian Fuchs,2003-2018,1,AUT,at,Leicester City!SV Matter...
e1d3c5a8,Sébastien Frey,1998-2014,0,FRA,fr,Fiorentina!Parma!Genoa,...
ebb9eaa9,Cristian Ledesma,2001-2018,1,ITA,it,Lazio!FC Lugano!Lecce!...
1eecc0c6,José Sosa,2002-2018,1,ARG,ar,Trabzonspor!Estudiantes ...
6603a18c,Gábor Király,1999-2018,1,HUN,hu,Szombathelyi Haladás!186...
8d71a3df,Yuji Nakazawa,2001-2017,1,JPN,jp,Yokohama F. Marinos!Toky...
13b0c150,Daniele Bonera,2000-2018,1,ITA,it,Villarreal!Milan!Parma,...
9ab16552,Makoto Hasebe,2003-2018,1,JPN,jp,Eintracht Frankfurt!Uraw...
41976af1,Jérémy Ménez,2004-2018,1,FRA,fr,América!Antalyaspor!Rom...
ad6df2d5,Miralem Pjanić,2007-2018,1,BIH,ba,Juventus!Roma!Lyon!Metz
